日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/02/01,2914539,248420810,84.75,85.5,84.75,85.25,0.6,897
107/02/02,3081592,261095295,84.85,85.15,84.35,84.9,-0.35,880
107/02/05,7075902,588994369,83.2,83.75,82.9,83.6,-1.3,2875
107/02/06,32222595,2574016957,80.85,81.1,78.8,79.65,-3.95,11372
107/02/07,10181907,825539952,81.35,81.4,80.6,80.65,1.0,5189
107/02/08,4514691,363476832,80.65,80.95,80.3,80.6,-0.05,1972
107/02/09,16211237,1271812204,78.6,79.2,78.0,79.05,-1.55,6760
107/02/12,8443795,672977850,79.55,79.9,79.4,79.7,0.65,3828
107/02/21,11646085,948993971,81.4,81.7,81.1,81.5,1.8,4541
107/02/22,3749910,303821917,81.5,81.5,80.75,81.0,-0.5,1744
107/02/23,3779316,309207057,81.4,82.1,81.4,82.0,1.0,1793
107/02/26,3289207,271560439,82.55,82.8,82.35,82.4,0.4,1380
107/02/27,7663746,634417022,83.1,83.2,82.35,82.35,-0.05,2037
